vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
12,lkekU;,ikoj fyf¶Vax,162803105,vk- fo'kky pkS/kjh,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,83 KG,Lo.kZ
13,lkekU;,ikoj fyf¶Vax,182530874,e-vk- vk'kk,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,43 KG,Lo.kZ
14,lkekU;,ikoj fyf¶Vax,182141645,e-vk- jtuh,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,47 KG,Lo.kZ
15,lkekU;,ikoj fyf¶Vax,192670773,e-vk- 'khry ijekj,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,52 KG,Lo.kZ
16,lkekU;,ikoj fyf¶Vax,182630792,e-vk- nh{kk xqIrk,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,63 KG,Lo.kZ
17,lkekU;,ikoj fyf¶Vax,192224781,e-eq-vk- fiz;adk 'kqDyk,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,74 KG,jtr
18,lkekU;,ikoj fyf¶Vax,162540824,e-vk- moZ'kh,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,69 KG,dkaL;
19,lkekU;,ikoj fyf¶Vax,112463713,e-vk- 'khye flag,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,84 KG,dkaL;
20,lkekU;,;ksxk,"160560954
191867180
161750237
180471632
152560315","eq-vk- fd'ku dqekj
eq-vk- vuqjkx efyd
eq-vk- c`ts'k iz/kku
vk- jktdqekj fcUn
vk- ;ksxs'k flag",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28 – 35 आर्टिस्टिक ग्रुप,Lo.kZ
21,lkekU;,;ksxk,"160510236
40460202","vk- fou; dqekj iVsy
eq-vk- jktho dqekj",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,35 से 55 आर्टिस्टिक पेयर,Lo.kZ
22,lkekU;,;ksxk,160560954,eq-vk- fd'ku dqekj,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28 से 35 आर्टिस्टिक सोलो,Lo.kZ
23,lkekU;,;ksxk,160560954,eq-vk- fd'ku dqekj,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28 से 35 ट्रेडिसनल,Lo.kZ
24,lkekU;,;ksxk,40460202,eq-vk- jktho dqekj,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28 से 35 आर्टिस्टिक सोलो,Lo.kZ
25,lkekU;,;ksxk,"190744441
190520904","eq-vk- lqfer dqekj
vk- iadt dqekj",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,35 से 55 आर्टिस्टिक सोलो,jtr
26,lkekU;,;ksxk,"210770104
180680203","vk- fouhr dqekj
vk- iznhi dqekj",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,18 -28 आर्टिस्टिक  पेयर,jtr
27,lkekU;,;ksxk,"40460202
920461442
920461442
940470361
210467088
160510236","eq-vk- jktho dqekj
eq-vk- izeksn dqekj flag
eq-vk- gfjvkse flag
ihlh lanhi dqekj vk;Z
vk- fou; dqekj iVsy",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,35 से 55 आर्टिस्टिक ग्रुप,dkaL;
28,lkekU;,;ksxk,190744441,"eq-vk- lqfer dqekj
vk- iznhi dqekj
vk- 'kqHke feJk
vk- iadt dqekj
vk- fouhr dqekj",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,18 से 28 आर्टिस्टिक ग्रुप,dkaL;
29,lkekU;,;ksxk,"212671643
182550616
212091575
162032332
212060595","e-vk- fjrw Bkdqj
e-eq-vk- 'kxqQk rkSghn
e-eq-vk- eksfudk 'kqDyk
e-vk- jk/kk ;kno
e-vk- f'k[kk flag",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28–35 आर्टिस्टिक ग्रुप,Lo.kZ
30,lkekU;,;ksxk,"212091575
212671643","e-eq-vk- eksfudk 'kqDyk
e-vk- fjrq Bkdqj",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28 से 35 आर्टिस्टिक पेयर,Lo.kZ
31,lkekU;,;ksxk,"212650622
192623331","e-vk- vkapy
e-vk- jktuUnuh",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,18-28 रिदमिक पेयर,jtr
32,lkekU;,;ksxk,"212060595
182550616","e-vk- f'k[kk flag
e-eq-vk- 'kxqQk rkSghn",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28-35 रिदमिक पेयर,dkaL;
33,lkekU;,;ksxk,"152651860
192327002","e-vk- lfjrk 'kekZ
e-vk- lk/kuk ik.Ms;",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,35-55  रिदमिक पेयर,dkaL;
34,lkekU;,;ksxk,182550616,e-eq-vk- 'kxqQk rkSghn,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28 से 35 आर्टिस्टिक सोलो,dkaL;
35,lkekU;,;ksxk,212671643,e-vk- fjrw Bkdqj,02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,28 से 35 ट्रेडिसनल,dkaL;
36,lkekU;,;ksxk,"192325527
182084052
192680703
192623331
212650622","e-vk- fjrw feJk
e-vk- lfjrk pkS/kjh
e-vk- lq""kek
e-vk- jktuUnuh
e-vk- vkapy",02oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk 2025,vejkorh] vkU/kzizns'k,13-10-2025 ls 17-10-2025,2025,18 से 28 आर्टिस्टिक ग्रुप,dkaL;
37,,,,,,,,,,
38,,,,,,,,,,
